file,flow_id,window_size,total_packets_in_flow,client_ip,client_port,server_ip,server_port,total_packets,outgoing_packets,incoming_packets,total_bytes,outgoing_bytes,incoming_bytes,packet_size_mean,packet_size_min,packet_size_max,packet_size_std,packet_size_var,packet_size_cv,packet_size_out_mean,packet_size_out_min,packet_size_out_max,packet_size_out_std,packet_size_out_var,packet_size_out_cv,packet_size_in_mean,packet_size_in_min,packet_size_in_max,packet_size_in_std,packet_size_in_var,packet_size_in_cv,iat_mean,iat_min,iat_max,iat_std,iat_var,iat_out_mean,iat_out_min,iat_out_max,iat_out_std,iat_out_var,iat_in_mean,iat_in_min,iat_in_max,iat_in_std,iat_in_var,short_header_count,long_header_count,short_header_ratio,long_header_ratio,spin_bit_count,spin_bit_ratio,no_spin_bit_ratio,handshake_packets,onertt_packets,initial_packets,zerortt_packets,retry_packets,initial_ratio,handshake_ratio,zerortt_ratio,onertt_ratio,retry_ratio,entropy_direction,entropy_packet_size,duration
traffic_record_scan_5.pcap,172.16.0.54:49632->172.19.0.8:443,10,55,172.16.0.54,49632,172.19.0.8,443,10,5,5,8446,2900,5546,844.6,86,1294,554.6206270956751,307604.0399999999,0.6566666198149125,580.0,86,1294,583.1390914696082,340051.2,1.0054122266717382,1109.2,374,1294,367.6010881376713,135130.56,0.3314110062546622,0.0031687683529324,0.0,0.02185988426208496,0.006688202929362767,4.47320584243367e-05,0.006973743438720703,0.0,0.025213956832885742,0.010581669728447091,0.00011197173424193352,0.0016647577285766602,3.2901763916015625e-05,0.0041751861572265625,0.0017453773236085052,3.0463420017667886e-06,4,6,0.4,0.6,0,0.0,1.0,4,4,2,0,0,0.2,0.4,0.0,0.4,0.0,1.0,1.7709505944546688,0.0285189151763916
traffic_record_scan_5.pcap,172.16.0.56:56984->172.19.0.8:443,10,56,172.16.0.56,56984,172.19.0.8,443,10,6,4,7243,2988,4255,724.3,86,1294,574.687401984766,330265.61,0.7934383570133453,498.0,86,1294,563.0239781749974,316996.0,1.1305702372991915,1063.75,375,1294,397.6508361615753,158126.1875,0.37381982247856665,0.001626888910929362,0.0,0.008758068084716797,0.0027132847454755713,7.361914110030436e-06,0.002919769287109375,0.0,0.011944055557250977,0.004566676966436062,2.0854538515777673e-05,0.001961310704549154,2.9802322387695312e-05,0.003400087356567383,0.0014193410962652939,2.014529147547566e-06,4,6,0.4,0.6,0,0.0,1.0,4,4,2,0,0,0.2,0.4,0.0,0.4,0.0,0.9709505944546686,1.9609640474436814,0.014642000198364258
traffic_record_scan_5.pcap,172.16.0.39:38525->172.19.0.8:443,10,59,172.16.0.39,38525,172.19.0.8,443,10,6,4,7247,2988,4259,724.7,86,1294,574.4454804417909,329987.61,0.7926665936826147,498.0,86,1294,563.0239781749974,316996.0,1.1305702372991915,1064.75,379,1294,395.918789021183,156751.6875,0.37184201833405306,0.0023127661810980905,0.0,0.014132976531982422,0.004323271071637591,1.869067275885844e-05,0.004156589508056641,0.0,0.01769399642944336,0.006811924863421205,4.6402320344895996e-05,0.002227306365966797,4.00543212890625e-05,0.0038259029388427734,0.0016006350587855118,2.562032591413299e-06,4,6,0.4,0.6,0,0.0,1.0,4,4,2,0,0,0.2,0.4,0.0,0.4,0.0,0.9709505944546686,1.9609640474436814,0.020814895629882812
traffic_record_scan_5.pcap,172.16.0.35:34132->172.19.0.8:443,10,58,172.16.0.35,34132,172.19.0.8,443,10,6,4,7239,2988,4251,723.9,86,1294,574.9317263814896,330546.49,0.794214292556278,498.0,86,1294,563.0239781749974,316996.0,1.1305702372991915,1062.75,371,1294,399.38288333377534,159506.6875,0.37580134870268206,0.0016370084550645617,1.5020370483398438e-05,0.008404016494750977,0.0026043125757110068,6.782443992006498e-06,0.002943611145019531,2.09808349609375e-05,0.011690139770507812,0.0044339083456968525,1.9659543218040197e-05,0.002109686533610026,3.790855407714844e-05,0.003553152084350586,0.0015022908396653183,2.256877766942327e-06,4,6,0.4,0.6,0,0.0,1.0,4,4,2,0,0,0.2,0.4,0.0,0.4,0.0,0.9709505944546686,1.9609640474436814,0.014733076095581055
traffic_record_scan_5.pcap,172.16.0.43:48350->172.19.0.8:443,10,54,172.16.0.43,48350,172.19.0.8,443,10,5,5,8446,2900,5546,844.6,86,1294,554.6206270956751,307604.0399999999,0.6566666198149125,580.0,86,1294,583.1390914696082,340051.2,1.0054122266717382,1109.2,374,1294,367.6010881376713,135130.56,0.3314110062546622,0.0029112233055962455,0.0,0.008656024932861328,0.003169152299226444,1.0043526295692257e-05,0.004765748977661133,0.0,0.01212310791015625,0.0050894186799873035,2.5902182500203708e-05,0.004386246204376221,3.0994415283203125e-05,0.008898019790649414,0.004353733179030265,1.895499259418898e-05,4,6,0.4,0.6,0,0.0,1.0,4,4,2,0,0,0.2,0.4,0.0,0.4,0.0,1.0,1.7709505944546688,0.02620100975036621
traffic_record_scan_5.pcap,172.16.0.53:44317->172.19.0.8:443,10,53,172.16.0.53,44317,172.19.0.8,443,10,6,4,7239,2988,4251,723.9,86,1294,574.9317263814896,330546.49,0.794214292556278,498.0,86,1294,563.0239781749974,316996.0,1.1305702372991915,1062.75,371,1294,399.38288333377534,159506.6875,0.37580134870268206,0.00257465574476454,1.0967254638671875e-05,0.010432958602905273,0.0035212211279013563,1.23989982315789e-05,0.004634380340576172,1.0967254638671875e-05,0.013838052749633789,0.005649599287964603,3.191797211457015e-05,0.004236380259195964,2.4080276489257812e-05,0.010283946990966797,0.004385002415801413,1.922824618658423e-05,4,6,0.4,0.6,0,0.0,1.0,4,4,2,0,0,0.2,0.4,0.0,0.4,0.0,0.9709505944546686,1.9609640474436814,0.02317190170288086
traffic_record_scan_5.pcap,172.16.0.33:44604->172.19.0.8:443,10,54,172.16.0.33,44604,172.19.0.8,443,10,5,5,8451,2900,5551,845.1,86,1294,554.1982407045334,307135.69,0.6557782992598904,580.0,86,1294,583.1390914696082,340051.2,1.0054122266717382,1110.2,379,1294,365.60109409026666,133664.16,0.3293110197174082,0.0017509990268283421,0.0,0.009531021118164062,0.0029323661125851695,8.59877101823786e-06,0.0036687850952148438,0.0,0.012748003005981445,0.0052965999921211915,2.805397147653821e-05,0.001556992530822754,2.6941299438476562e-05,0.00339508056640625,0.0015450528387763013,2.3871882746107076e-06,4,6,0.4,0.6,0,0.0,1.0,4,4,2,0,0,0.2,0.4,0.0,0.4,0.0,1.0,1.7709505944546688,0.015758991241455078
traffic_record_scan_5.pcap,172.16.0.31:60557->172.19.0.8:443,10,55,172.16.0.31,60557,172.19.0.8,443,10,6,4,7238,2988,4250,723.8,86,1294,574.9931825682805,330617.16000000003,0.7944089286657648,498.0,86,1294,563.0239781749974,316996.0,1.1305702372991915,1062.5,370,1294,399.81589513174686,159852.75,0.3762973130651735,0.0016254319085015191,0.0,0.008775949478149414,0.00273246333875067,7.466355897616459e-06,0.0029257774353027345,0.0,0.012082815170288086,0.004627965599908284,2.1418065593934446e-05,0.0019363562266031902,2.5987625122070312e-05,0.0034759044647216797,0.001432622852545064,2.0524082376343563e-06,4,6,0.4,0.6,0,0.0,1.0,4,4,2,0,0,0.2,0.4,0.0,0.4,0.0,0.9709505944546686,1.9609640474436814,0.014628887176513672
traffic_record_scan_5.pcap,172.16.0.37:59313->172.19.0.8:443,10,49,172.16.0.37,59313,172.19.0.8,443,10,5,5,8453,2900,5553,845.3,86,1294,554.0303331046053,306949.61,0.6554245038502371,580.0,86,1294,583.1390914696082,340051.2,1.0054122266717382,1110.6,381,1294,364.80109648958023,133079.84000000003,0.3284720839992619,0.003025902642144097,0.0,0.009036064147949219,0.0033259152797642318,1.1061712448169187e-05,0.004960000514984131,0.0,0.012351036071777344,0.005222934827075033,2.7279048207873302e-05,0.004549264907836914,2.5987625122070312e-05,0.00917196273803711,0.004521819979555006,2.044685592750284e-05,4,6,0.4,0.6,0,0.0,1.0,4,4,2,0,0,0.2,0.4,0.0,0.4,0.0,1.0,1.7709505944546688,0.027233123779296875
traffic_record_scan_5.pcap,172.16.0.34:48867->172.19.0.8:443,10,54,172.16.0.34,48867,172.19.0.8,443,10,6,4,7244,2988,4256,724.4,86,1294,574.6266962124193,330195.84,0.7932450251413851,498.0,86,1294,563.0239781749974,316996.0,1.1305702372991915,1064.0,376,1294,397.217824373479,157782.0,0.3733250229074051,0.0027700000339084202,0.0,0.011531829833984375,0.0038219581348862123,1.4607363984822894e-05,0.004986000061035156,0.0,0.014735937118530273,0.005986904075152859,3.584302040508191e-05,0.0044536590576171875,2.8133392333984375e-05,0.010439872741699219,0.004391498558867027,1.9285259592531172e-05,4,6,0.4,0.6,0,0.0,1.0,4,4,2,0,0,0.2,0.4,0.0,0.4,0.0,0.9709505944546686,1.9609640474436814,0.02493000030517578
traffic_record_scan_5.pcap,172.16.0.36:45602->172.19.0.8:443,10,52,172.16.0.36,45602,172.19.0.8,443,10,5,5,8447,2900,5547,844.7,86,1294,554.5358509600619,307510.01,0.6564885177696956,580.0,86,1294,583.1390914696082,340051.2,1.0054122266717382,1109.4,375,1294,367.201089323003,134836.64,0.33099070607806286,0.002215438418918186,0.0,0.013000965118408203,0.003985333770063424,1.5882885258807945e-05,0.004748225212097168,0.0,0.01665782928466797,0.006938643613295538,4.814477519232696e-05,0.0017344951629638672,2.384185791015625e-05,0.0039331912994384766,0.001736637796101159,3.015910834847091e-06,4,6,0.4,0.6,0,0.0,1.0,4,4,2,0,0,0.2,0.4,0.0,0.4,0.0,1.0,1.7709505944546688,0.019938945770263672
traffic_record_scan_5.pcap,172.16.0.49:40643->172.19.0.8:443,10,50,172.16.0.49,40643,172.19.0.8,443,10,6,4,7246,2988,4258,724.6,86,1294,574.5057353934772,330056.83999999997,0.7928591435184614,498.0,86,1294,563.0239781749974,316996.0,1.1305702372991915,1064.5,378,1294,396.35180080327626,157094.75,0.3723361209988504,0.0016853279537624782,0.0,0.009001016616821289,0.0027984756200498764,7.831465796013541e-06,0.003022432327270508,0.0,0.01244497299194336,0.0047634795796233425,2.2690737705488572e-05,0.002055644989013672,3.814697265625e-05,0.0036499500274658203,0.0015045707137683682,2.263733032729457e-06,4,6,0.4,0.6,0,0.0,1.0,4,4,2,0,0,0.2,0.4,0.0,0.4,0.0,0.9709505944546686,1.9609640474436814,0.015167951583862305
